Column1,Column2,Column3
19,28,0.007288205
19,29,0.005209836
19,30,0.007533581
19,31,0.003775766
19,32,0.005202824
19,33,0.004386978
19,34,0.001178812
19,35,0.005090908
19,36,0.007790234
19,37,0.006226215
19,38,0.003618292
19,39,0.003027824
20,21,0.036301512
20,22,0.00920494
20,23,0.019290569
20,24,0.005244242
20,25,0.008451387
20,26,0.007545743
20,27,0.007491236
20,28,0.014891204
20,29,0.01117175
20,30,0.004627942
20,31,0.005727143
20,32,0.007226642
20,33,0.065449513
20,34,0.009877709
20,35,0.005223423
20,36,0.002897127
20,37,0.008662822
20,38,0.00241459
20,39,0.007020572
21,22,0.022943347
21,23,0.007859557
21,24,0.020587686
21,25,0.004836984
21,26,0.005281941
21,27,0.00271434
21,28,0.004784371
21,29,0.00470713
21,30,0.005486415
21,31,0.005063256
21,32,0.007511012
21,33,0.00178615
21,34,0.001190139
21,35,0.001647384
21,36,0.003577349
21,37,0.003133936
21,38,0.001840524
21,39,0.002336422
22,23,0.028664896
22,24,0.013824633
22,25,0.007641794
22,26,0.007118777
22,27,0.006144578
22,28,0.001626862
22,29,0.041986092
22,30,0.003154462
22,31,0.023660208
22,32,0.06868932
22,33,0.003956452
22,34,0.001260871
22,35,0.011505531
22,36,0.000689016
22,37,0.010563283
22,38,0.002136228
22,39,0.002287423
23,24,0.028853711
23,25,0.013789083
23,26,0.010388694
23,27,0.014285351
23,28,0.000443836
23,29,0.001346786
23,30,0.003177047
23,31,0.005660352
23,32,0.002344221
23,33,0.001840222
23,34,0.002201451
23,35,0.004683307
23,36,0.001004602
23,37,0.003444166
23,38,0.002657035
23,39,0.001529706
24,25,0.006503295
24,26,0.003789064
24,27,0.00303551
24,28,0.001161956
24,29,0.009476157
24,30,0.002406513
24,31,0.003761129
24,32,0.014724902
24,33,0.004244004
24,34,0.005308643
24,35,0.001177255
24,36,0.000685784
24,37,0.000415589
24,38,0.002305646
24,39,0.001555341
25,26,0.363822431
25,27,0.200070228
25,28,0.002006272
25,29,0.007012208
25,30,0.000920982
25,31,0.00530937
25,32,0.000643515
25,33,0.002022851
25,34,0.015982569
25,35,0.012009534
25,36,0.009141359
25,37,0.01823359
25,38,0.018991481
25,39,0.00424165
26,27,0.056511934
26,28,0.00076561
26,29,0.000219158
26,30,0.000459688
26,31,0.001549037
26,32,0.00168896
26,33,0.002619585
26,34,0.004142036
26,35,0.00586497
26,36,0.009768579
26,37,0.021553718
26,38,0.027547895
26,39,0.022460294
27,28,0.000353336
27,29,0.002202796
27,30,0.00321923
27,31,0.003120391
27,32,0.001503883
27,33,0.000620679
27,34,0.006363773
27,35,0.01079863
27,36,0.017371095
27,37,0.037446856
27,38,0.022179037
27,39,0.056557525
28,29,0.004365483
28,30,0.01560446
28,31,0.00526678
28,32,0.004547
28,33,0.006379238
28,34,0.00090189
28,35,0.000289996
28,36,0.000690012
28,37,0.002293328
28,38,0.000226493
28,39,0.004179553
29,30,0.130779517
29,31,0.092214496
29,32,0.025765729
29,33,0.036508558
29,34,0.000411986
29,35,0.000524154
29,36,0.001032282
29,37,0.000444714
29,38,0.000919105
29,39,0.006742346
30,31,0.022900844
30,32,0.004271583
30,33,0.009608729
30,34,0.00021791
30,35,0.00209116
30,36,0.023345396
30,37,0.001305645
30,38,0.000952173
30,39,0.003558834
31,32,0.121605898
31,33,0.040704048
31,34,0.001423775
31,35,0.000302095
31,36,0.000248128
31,37,0.001554745
31,38,0.000989617
31,39,0.001330654
32,33,0.067676598
32,34,0.000562136
32,35,0.001106035
32,36,0.00383371
32,37,0.001740902
32,38,0.002353465
32,39,0.001714205
33,34,0.005451794
33,35,0.003897454
33,36,0.003624623
33,37,0.000733603
33,38,0.000286001
33,39,0.001515396
34,35,0.046780661
34,36,0.107275795
34,37,0.030505021
34,38,0.060722199
34,39,0.010898043
35,36,0.081885313
35,37,0.044666615
35,38,0.036310063
35,39,0.047357889
36,37,0.044344306
36,38,0.061259026
36,39,0.020102166
37,38,0.174834758
37,39,0.032127177
38,39,0.059474203
